experiment_duration,user_id,enthusiast,age,gender,education,region,openness,conscientiousness,Extroversion,agreeableness,neuroticism,Familiarity_SelectedSong,PleasantSurprise_SelectedSong,MatchInterests_SelectedSong,selected_recommendation_id,selected_position,explanation,explanation type,confidence,usefulness,persuasion,transparency,comprehensibility,fairness,accuracy,compelling,check,trustworthy,satisfaction,system,comment,quality_Agreeableness,quality_Conscientiousness,quality_Extroversion,quality_Neuroticism,quality_Openness,quality_FeatureBased,taste_Agreeableness,taste_Conscientiousness,taste_Extroversion,taste_Neuroticism,taste_Openness,taste_FeatureBased,listen_Agreeableness,listen_Conscientiousness,listen_Extroversion,listen_Neuroticism,listen_Openness,listen_FeatureBased
0:14:40,87,5,4,1,2,4,3.75,3.5,1.75,4.0,4.5,4,2,2,139,4,"Essa canção ressoa profundamente com quem aprecia destino e propósito, oferecendo uma jornada sonora que inspira perseverança e reflexão. Sua composição crescente e solos emocionantes motivam a superação de desafios, além de proporcionar um momento de introspeção, permitindo a desconexão do cotidiano e estimulando sonhos de liberdade e autêntica realização pessoal.",conscientiousness,5,4,5,5,5,4,5,5,3,4,4,5,,5,3,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5
0:16:24,89,4,1,1,2,3,4.5,3.25,2.0,3.5,4.75,5,4,5,142,1,"Essa faixa oferece uma atmosfera sombria e introspectiva, repleta de camadas sonoras intrigantes que evocam emoções complexas. Seus elementos melódicos e letras introspectivas estimulam a introspecção e a contemplação, permitindo uma jornada emocional única. Ideal para quem aprecia experiências que desafiam o convencional, proporcionando uma imersão sonora profundamente rica e envolvente.",openness,5,3,5,5,4,4,4,4,3,4,4,4,Adorei as recomendações das músicas fazem muito meu estilo,5,4,5,5,5,5,4,4,5,4,5,5,5,4,4,4,5,5
0:10:06,95,2,4,1,4,4,4.0,4.25,3.5,4.25,1.75,5,5,5,154,1,"Esta melodia oferece um refúgio emocional com vocais suaves e letra inspiradora. Promove calma, evocando sentimentos de segurança e conexão. A música embala como um abraço reconfortante, ajudando a aliviar preocupações e tensões. Sua mensagem positiva e acolhedora revitaliza, proporcionando clareza, tranquilidade e um leve toque de esperança.",neuroticism  ,5,5,5,4,5,5,5,4,3,4,5,5,,4,4,5,5,4,4,4,4,5,5,4,4,4,4,5,5,4,5
0:15:08,96,4,4,1,2,3,4.25,3.75,3.5,4.5,2.0,4,4,5,162,3,"Essa faixa apresenta uma energia poderosa e vibrante, perfeita para agitar qualquer ambiente. Seus ritmos pulsantes e coros marcantes criam uma atmosfera eletrizante, ideal para quem adora compartilhar momentos intensos com amigos. As letras inspiradoras incentivam a coragem e a paixão, tornando-se um hino para enfrentar desafios e celebrar a vida.",Extroversion,5,4,4,4,5,5,5,4,3,5,4,4,"Gostei do sistema de recomendações, de como focou no instrumental, em como a música chega para o ouvinte. Com energia, em como nos sentimos ouvindo elas.",3,5,5,3,4,5,3,5,5,3,4,5,3,5,5,4,4,5
0:13:43,97,2,3,1,4,4,3.25,3.5,3.5,4.25,3.5,5,4,5,172,1,"Essa música possui um refrão poderoso e cativante, que estimula energia e empolgação. Sua melodia intensa e letras apaixonadas são ideais para aqueles que adoram compartilhar momentos vibrantes com amigos. A combinação de ritmo envolvente e vocais expressivos cria um ambiente perfeito para quem gosta de vivenciar experiências coletivas e dinâmicas.",Extroversion,4,5,4,3,4,4,3,4,3,4,4,5,,4,4,4,4,3,4,4,3,4,4,2,2,4,2,5,4,2,2
0:08:50,99,4,4,2,4,4,2.0,3.5,1.75,4.0,4.75,5,5,5,168,3,"Esta música apresenta uma mistura envolvente de ritmos latinos e hip-hop, proporcionando um equilíbrio perfeito entre energia e sofisticação. A melodia cativante e a produção impecável fazem dela uma excelente escolha para quem aprecia estrutura e harmonia, incentivando foco e motivação, enquanto mantém uma atmosfera animada e positiva.",conscientiousness,4,5,4,5,5,5,5,5,3,4,4,4,,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,4
0:15:54,101,3,3,1,4,3,3.5,3.5,3.25,4.0,2.75,3,4,4,189,6,"O som harmônico e envolvente estimula momentos de introspecção e renovação de energia, proporcionando uma desaceleração necessária. Transporta o ouvinte para um estado de equilíbrio emocional, permitindo apreciar a beleza do presente. Ideal para encontrar serenidade e equilíbrio, sem perder a intensidade e paixão pelo momento vivido.",Extroversion,4,4,4,4,4,4,4,4,3,3,4,4,"Gostei desse sistema de recomendações, ajuda bastante principalmente nos dia a dia enquanto estamos ocupados fazendo alguma coisa. ",3,3,4,4,4,4,3,3,4,4,4,4,3,2,4,4,4,4
0:15:23,102,4,1,2,3,5,3.0,3.25,1.25,4.0,2.75,5,4,4,201,6,"A melodia explora nostálgicas jornadas da infância para a complexidade da vida adulta, convidando à introspecção. Os ritmos e letras evocam sentimentos profundos, incentivando a contemplação do passado e presente. É uma envolvente mistura de emoções, ideal para quem aprecia a música como uma narrativa rica e multifacetada.",openness,4,4,4,2,2,3,2,3,3,3,4,4,"Algumas descrições não ficaram tão claras para mim. Mas no geral, gostei ",4,4,4,4,5,2,2,3,4,4,4,2,3,4,3,4,4,3
0:12:30,104,4,4,1,4,5,4.5,3.5,4.0,4.5,3.25,5,5,5,207,6,"Esta canção destaca-se por seus acordes de guitarra cativantes e um ritmo envolvente que captura a atenção do início ao fim. Seus vocais são poderosos e hipnotizantes, complementados por harmonias sutis. A letra poética conta uma história misteriosa e intrigante, transportando o ouvinte para um mundo místico e inesquecível.",feature based,5,4,5,4,5,5,5,5,3,5,5,5,O tipo de melodia se mais animada ou instropectiva,5,4,5,5,5,5,5,3,5,5,5,4,4,4,5,5,5,4
0:28:23,107,4,1,2,3,2,4.5,4.0,3.5,4.5,2.25,2,4,4,217,4,"Com batidas enérgicas, riffs de guitarra cativantes e um ritmo acelerado envolvente, esta faixa combina elementos de rock e indie. Seus sintetizadores pulsantes e refrão marcante tornam-na ideal para animar qualquer ambiente. A produção impecável e a estrutura dinâmica garantem uma experiência auditiva memorável e revigorante.",feature based,4,4,4,5,5,5,4,3,3,4,5,4,,5,4,3,4,4,4,5,5,4,3,4,5,5,5,5,5,4,5
0:05:43,110,5,2,1,2,1,4.0,3.25,2.5,4.0,2.5,1,1,3,222,3,"Misturando hip-hop e R&B, essa canção oferece uma experiência sonora rica e única. O diálogo entre vozes distintas e a produção inovadora cativa com suas camadas texturizadas. Letras introspectivas e batidas cativantes incentivam a exploração interna, desafiando convenções musicais convencionais e convidando o ouvinte a uma imersão emocional e sensorial fascinante.",openness,5,4,4,4,5,5,4,4,3,4,4,4,,4,4,4,4,4,5,4,4,2,4,4,5,5,4,3,5,5,5
0:15:38,111,5,3,2,5,3,4.75,3.75,2.0,4.0,4.75,5,5,5,230,5,"Este clássico captura a essência de viver plenamente, valorizando conexões humanas e experiências autênticas. A melodia e a letra evocam uma jornada inspiradora que ressoa com quem busca significado além do cotidiano. Sua energia nostálgica e reflexiva encoraja a empatia, promovendo harmonia e entendimento em cada interação compartilhada.",agreeableness ,4,4,4,3,5,4,5,4,3,4,4,4,,5,4,5,5,4,4,5,4,5,5,5,4,5,4,5,5,5,4
0:08:13,113,3,3,2,4,5,4.0,4.25,1.75,4.5,4.5,5,5,5,232,1,"Esta faixa cativa com sua batida envolvente e produção polida, destacando vocais poderosos que navegam por uma melodia memorável. A mistura de elementos pop modernos com um refrão irresistível garante uma experiência auditiva dinâmica. A letra intrigante oferece uma narrativa cativante que mantém a atenção do início ao fim.",feature based,4,5,5,5,4,4,4,3,3,4,4,5,,5,4,4,5,5,5,5,3,4,5,4,5,5,3,4,5,4,5
0:13:51,115,5,4,2,6,5,4.0,3.0,3.25,4.0,3.5,4,4,3,245,2,"Esta canção oferece uma fusão dinâmica de rockabilly e rock clássico, criando uma experiência sonora cativante. Com riffs de guitarra inesquecíveis, um ritmo envolvente e vocais carismáticos, ela transporta o ouvinte para uma era de autenticidade musical. Produção polida e refrão marcante garantem uma audição prazerosa e revigorante.",feature based,5,4,4,3,4,4,4,4,3,4,4,4,Bem explicado,4,4,5,4,4,5,3,4,4,4,4,5,4,4,4,4,4,5
0:17:55,116,3,3,1,4,2,4.75,3.75,2.25,4.75,2.75,5,5,5,255,6,"Essa obra musical inspira superação e resiliência através de sua melodia poderosa e mensagem motivadora. Os ritmos arrebatadores e letra encorajadora promovem empoderamento, oferecendo um senso renovado de confiança e força interior. Ouvir essa canção icônica pode elevar o espírito, motivando a enfrentar desafios com coragem e determinação renovada.",neuroticism  ,5,4,4,4,4,4,4,4,3,4,4,4,Os detalhes nas descrições são bem diretos e de fáceis compreensão,4,4,3,4,4,4,4,4,2,4,4,3,4,4,2,4,4,3
0:11:00,122,4,4,1,5,2,2.5,4.5,2.75,3.75,2.75,5,3,5,259,4,"Essa balada emocional combina letras introspectivas com um som envolvente e produção sofisticada, ideal para explorar sentimentos complexos. Sua melodia hipnótica e vocais emocionantes transportam o ouvinte a um universo sonoro cativante. Estimula a imaginação e paixão, permitindo uma experiência auditiva profunda e rica em nuances que surpreendem e encantam.",openness,4,4,2,4,4,4,4,3,3,3,3,1,Acho que as recomendações que aparecem nos aplicativos com base no que a gente escuta já funcionam parecido.,5,4,5,4,5,4,4,3,5,3,5,3,4,3,5,2,5,3
0:20:35,123,5,4,1,6,2,4.5,4.25,4.75,5.0,1.25,5,5,5,269,2,"Essa melodia enérgica e inspiradora ressoa perfeitamente com corações calorosos, pois combina ritmos empolgantes com letras encorajadoras. Celebra o poder da autenticidade e perseverança, inspirando ouvintes a sonhar grande, mantendo sua essência verdadeira. Sua batida vibrante e mensagem positiva estimulam o entusiasmo contagiante, refletindo a bondade e otimismo inerentes ao ouvinte.",agreeableness ,4,5,4,5,5,5,5,4,3,5,5,4,"Essas descrições ajudam a escolher uma linha de perfil de música,  mas também acaba sendo bem generalista. Não daria para identificar uma musica com ela e escolher. Mas para escolher um gênero,  é uma boa opção sim.",5,4,5,5,4,4,5,4,5,5,4,5,5,5,5,5,4,5
0:05:27,124,5,2,2,4,4,4.25,4.5,3.25,5.0,2.5,5,5,5,264,3,"Esta faixa oferece uma jornada sonora cativante, repleta de ritmos dinâmicos e atmosferas misteriosas. As mudanças inesperadas nas melodias, aliadas a letras instigantes, convidam à reflexão e estimulam a criatividade, proporcionando uma experiência auditiva envolvente. É uma obra-prima capaz de desafiar e expandir a percepção musical do ouvinte.",openness,4,5,4,5,5,5,5,5,3,4,4,4,,4,5,4,5,5,5,4,4,3,4,5,5,4,4,3,3,5,5
0:29:30,127,4,3,1,4,4,4.5,4.0,2.75,4.5,3.0,5,5,5,278,5,"Esta música oferece uma melodia suave e letras reconfortantes que promovem calma e serenidade. O ritmo tranquilo ajuda a relaxar a mente sobrecarregada, aliviando tensões emocionais. Ao evocar uma sensação de conforto e segurança, encoraja momentos de introspecção positiva e estabilidade, reforçando uma percepção mais equilibrada de si mesmo.",neuroticism  ,5,5,5,5,5,4,4,4,3,4,4,4,,4,4,5,5,4,5,3,3,4,5,3,4,3,3,4,5,3,4
0:18:28,129,5,2,2,3,4,3.5,2.75,3.0,3.5,3.25,5,5,5,281,2,"A energia vibrante e os ritmos cativantes desta canção criam um ambiente perfeito para celebrar a vida e as experiências compartilhadas. Suas letras evocam liberdade e entusiasmo juvenil, fazendo-a ideal para momentos de alegria e conexão em grupos. Perfeita para festas, inspira movimento e intensifica interações dinâmicas e envolventes.",Extroversion,4,2,4,2,2,3,4,2,3,2,3,2,"As explicações parecem de certa forma genéricas, sem demonstrar o que aquela música tem em específico que a diferencie das demais, além disso, as opções de música para escolher no início são muito escassas, não representando de forma precisa o meu gosto musical.",5,4,4,4,2,4,4,4,4,2,4,3,4,4,5,3,3,3
0:07:48,130,4,3,1,5,4,4.5,4.0,4.0,4.75,2.25,5,5,5,286,1,"Esta faixa apresenta uma narrativa cativante sobre romance e desencontros, com uma melodia pop envolvente que fica na cabeça. Os vocais são claros e marcantes, acompanhados por uma batida rítmica bem produzida. A canção é repleta de metáforas inteligentes e um refrão memorável, ideal para playlists contemporâneas.",feature based,4,4,3,4,3,4,4,4,3,4,4,4,,4,4,5,3,5,5,4,5,5,4,5,5,4,4,5,4,5,5
0:10:45,131,4,2,1,6,4,4.75,4.25,3.25,5.0,3.75,2,5,5,297,6,"Essa canção energética combina riffs poderosos e um refrão memorável que inspira confiança e determinação. A batida pulsante e a letra motivadora promovem momentos de pura adrenalina, perfeita para aqueles que adoram se destacar e criar impacto. Ideal para quem busca experiências intensas e envolventes em encontros memoráveis e vibrantes.",Extroversion,5,5,5,5,5,4,5,5,3,5,5,5,,4,5,5,5,3,5,4,5,5,5,3,5,4,5,5,5,3,5
0:12:33,132,1,3,1,1,2,5.0,2.75,1.75,5.0,3.5,4,4,2,298,1,"A melodia vibrante evoca alegria contagiante, criando um ambiente animado que espelha exuberância natural. Ritmos leves e instrumentos festivos incentivam interação, perfeito para momentos compartilhados com amigos. A energia crescente captura a essência de aventuras e camaradagem. Ideal para animar encontros, inspirando movimento e celebração, conectando-se ao espírito coletivo.",Extroversion,5,4,4,2,5,2,2,4,3,4,3,5,,5,5,4,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1
0:21:24,133,4,4,1,3,4,5.0,4.25,4.5,5.0,3.75,2,5,5,306,3,"Essa canção inspira superação e resiliência, aliando batidas energéticas e letras motivadoras. A combinação de ritmos dinâmicos e mensagens de coragem desperta uma mentalidade ousada, incentivando exploração e crescimento pessoal. Ideal para aqueles que valorizam inovação, suas harmonias impulsionam a imaginação, celebrando o desafio e a liberdade de ser autêntico.",openness,5,5,4,5,5,5,4,4,3,4,4,5,,5,3,4,4,4,4,5,3,4,4,5,4,5,3,5,4,5,4
0:04:36,136,3,2,2,2,4,3.0,3.0,3.0,3.0,3.0,3,3,3,312,3,"Essa canção captura a essência da perseverança e resiliência diante dos desafios da vida. Sua narrativa poderosa reflete o valor da dedicação e o impacto das escolhas, ressoando com indivíduos que apreciam planejar e enfrentar adversidades com calma e determinação. A melodia equilibrada complementa perfeitamente essa perspectiva sólida e madura.",conscientiousness,3,3,3,3,3,3,3,3,3,3,3,3,Gostei muito,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0:17:08,137,4,3,1,5,2,3.75,3.5,2.0,4.75,3.75,5,4,5,320,5,"Essa melodia envolvente oferece uma letra emotiva que celebra dedicação e amor incondicional. A estrutura harmoniosa, aliada a vocais potentes, evoca sentimentos de proteção e cuidado. Cada verso reforça uma conexão sincera, enquanto a sonoridade suave complementa perfeitamente uma alma sensível e empática, promovendo momentos de profunda reflexão e carinho genuíno.",agreeableness ,5,4,4,4,4,4,4,4,3,4,4,5,A forma como foi descrita a música me deixou curiosa para ouví-la.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0:11:19,138,3,4,1,6,4,3.75,4.0,3.75,4.0,3.0,4,4,4,326,5,"Esta obra-prima do rock brasileiro apresenta letras poéticas e reflexivas, abordando questões universais. Sua melodia cativante e os acordes de guitarra marcantes criam uma atmosfera envolvente, enquanto a estrutura rítmica mantém o ouvinte atento. A combinação de vocal expressivo e instrumentação coesa torna essa canção uma experiência auditiva memorável.",feature based,5,4,4,4,4,4,4,4,3,4,4,3,,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,5
0:05:37,140,5,3,1,2,4,4.5,4.25,4.0,4.5,4.75,4,4,3,333,6,Essa canção oferece uma melodia envolvente e um ritmo cativante que energiza qualquer ambiente. A letra emocional e poderosa estimula uma conexão instantânea e abre espaço para conversas intensas. Sua vibração energética combina perfeitamente com quem adora compartilhar bons momentos e criar uma atmosfera cheia de vida e movimento.,Extroversion,5,5,4,5,4,3,3,4,3,5,5,4,,3,3,4,3,3,4,4,4,3,3,4,3,3,4,4,4,4,4
0:06:55,141,5,4,2,4,3,4.25,3.5,4.25,4.0,3.5,5,3,4,340,1,"A música equilibra perfeitamente paixão e sinceridade, com letras profundas e honestas. As melodias bem estruturadas refletem dedicação e precisão. Ela oferece uma experiência sonora que ressoa com quem aprecia honestidade e exatidão, proporcionando um momento de introspecção e apreciação da beleza na autenticidade e complexidade emocional equilibrada.",conscientiousness,4,3,3,3,4,2,2,3,3,4,2,2,,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4
0:39:16,143,4,3,1,2,2,1.5,2.5,2.25,3.5,3.75,3,3,1,354,3,"A canção apresenta um ritmo cativante, combinando pop e elementos tropicais que garantem uma experiência sonora envolvente. A melodia pegajosa complementa harmoniosamente os arranjos de percussão. As letras, facilmente memoráveis, possuem repetição eficaz, facilitando a conexão com o ouvinte. A produção refinada destaca a clareza vocal, tornando-a uma escolha agradável para diversas ocasiões.",feature based,4,4,4,3,4,4,3,3,3,4,4,3,,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4
0:05:37,144,5,4,1,6,4,4.5,4.5,3.0,4.0,3.25,4,4,4,361,4,"Composição poderosa, guiada por riffs de guitarra intensos e um ritmo contagiante que prende a atenção desde o início. A combinação de vocais característicos e uma instrumentação habilidosa cria uma experiência sonora dinâmica. A produção precisa realça cada elemento, resultando em uma faixa sólida que se destaca pela sua energia e complexidade musical.",feature based,4,4,4,4,4,3,3,3,3,4,4,4,,4,3,4,3,4,5,4,3,4,3,4,4,4,2,4,3,4,4
0:07:01,145,4,1,2,3,2,3.25,2.75,2.25,2.0,3.5,4,4,5,367,4,"A poderosa letra e melodia intensa inspiram paixão e conexão, ressoando com aqueles que vivem intensamente e expressam suas emoções plenamente. A batida crescente e o refrão envolvente são perfeitos para quem busca energia e significado em suas interações, aproveitando a música para criar ambientes dinâmicos e cativantes.",Extroversion,3,3,4,3,2,1,3,3,3,4,4,4,,4,4,4,4,3,4,4,3,4,5,3,5,4,3,4,4,3,4
0:08:42,146,5,4,1,2,4,4.25,3.5,2.0,4.25,3.5,1,5,5,387,6,"Este som captura uma atmosfera mágica e cinematográfica, combinando melodias emotivas com letras inspiradoras. Oferece uma jornada sonora que estimula o pensamento e a introspecção. Frequentemente pontuada por arranjos orquestrais, a faixa provoca uma sensação de maravilhamento, encorajando ouvintes a explorar novas narrativas e possibilidades dentro de si mesmos.",openness,5,5,5,4,4,4,5,5,3,5,5,5,,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,4
0:04:48,148,4,3,1,3,5,3.5,3.5,2.75,3.25,1.75,2,3,3,377,2,"Esta faixa combina uma melodia acústica suave com arranjos contrastantes, criando uma experiência sonora única. A letra, rica em narrativa, explora temas profundos e complexos, enquanto o ritmo envolvente mantém o ouvinte cativado. É uma composição que provoca reflexão, misturando elementos sonoros distintos para formar uma obra coesa e intrigante.",feature based,4,4,4,3,4,4,3,3,3,4,4,4,,4,4,4,4,5,4,3,5,3,4,4,4,3,4,2,4,4,3
